tweet_id,is_troll,text
1625871171269935104,1,"""""Former Ukrainian President Petro Poroshenko said that NATO had a training base in Ukraine (which Poroshenko had built) until Russia destroyed it.So apparently Vladimir Putin was right after all....🤔 """""
1625742674144665603,1,"""""Here's the Ukronazi pilot killed. """""
1625859370331574272,1,"""""Every attempt The West has made to discredit Russia has failed, Russia stands stronger than ever.#StandWithRussia🇷🇺 """""
1625276959323201537,1,"""""Russian soldiers captured a Ukrainian soldier of the 80th Air Assault Brigade, he was responsibly for war crimes near Makveeka. It’s reported that the soldier died of blood loss after being captured due to medics not reaching the area in time """""
1625499102833414147,1,"""""""We are a democratic state. We cannot set an example, like Russia, to drive someone to war with sticks. We are not such a state. We are fighting for European values, and we want to be a member of the EU, so we even need to fight with such values"" - ZelenskyOdessa today 👇 """""
1625822683530141697,1,"""""How Zelenskyy begs for weapons 😂😂😂 """""
1625177626087129088,1,"""""On 28 Sept 2022 White House spokesman Jake Sullivan, whom Seymour Hersh discovered was directly involved in the U.S. plot to sabotage the Nordstream, suggests Russia might have been responsible.Lying and deceiving seems to be the strategy from the Biden administration...... """""
1625563364511387651,1,"""""Lancet on BMK-2000 landing ship...some UA flew into the water.. """""
1625544298862198813,1,"""""#Russia must pay for restoration of #Ukraine - Swedish PM KristerssonSo, when will #USA restore #Iraq, #Afghanistan , #Lybia, #Vietnam, #Syria, #Serbia ...etc etc """""
1625821722149638147,1,"""""President Xi Jinping to Iranian counterpart: In the face of complex changes in the world... I would like to work w/ you, Mr. President.🇨🇳🇮🇷 """""
1625497065311862784,1,"""""The best country in the world is 🇷🇺🇷🇺🇷🇺 """""
1625827526877511680,1,"""""❗️Russia’s Security Service Detains Ukrainian Neo-Nazi In Rostov-On-DonThe FSB says that a member of the Azov Battalion was detained in the Russian port city after arriving there under the guise of a refugee.The suspect attempted to blend into society while promoting the 1/ """""
1625856358494126080,1,"""""Just another day in the life of the satanic Kiev regime """""
1625432111409684480,1,"""""Syrian girl thanking Russian rescuers """""
1625744141383598080,1,"""""Well Stoltenberg you started the war, perhaps you should have considered that """""
